AtwaterCode,CategoryName,Cprotein,Cfat,Ccarb
A,穀物類,3.91,8.37,4.12
B,澱粉類,3.91,8.37,4.12
C,堅果及種子類,3.47,8.37,4.07
D,水果類,3.36,8.37,3.6
E,蔬菜類,2.62,8.37,3.9
F,藻類,2.62,8.37,3.9
G,菇類,2.62,8.37,3.9
H,豆類,3.47,8.37,4.07
I,肉類,4.27,9.02,4
J,魚貝類,4.27,9.02,4
K,蛋類,4.36,9.02,4
L,乳品類,4.27,8.79,3.87
MA,油脂類(動物),4,8.93,4
MP,油脂類(植物),4,8.84,4
N,糖類,4,9,3.87
O,嗜好性飲料類,4,9,4
P,調味料及香辛料類,4,9,4
Q,糕餅點心類,4,9,4
R,加工調理食品類,4,9,4
