Category,Food Name,Calorie (kcal),Carbs (g),Protein (g),Fat (g),Water (g),Ash (g)
水果類,"木瓜(8月取樣)",33.4413,8.8139,0.457,0.021,90.295,0.4131
水果類,"木瓜(11月取樣)",44.199,11.7765,0.411,0.0505,87.465,0.297
水果類,"青木瓜",28.5757,7.1981,0.6203,0.0691,91.6581,0.4544
水果類,"安石榴",67.2198,16.76,1.7,0.14,80.7,0.7
水果類,"百香果(台農一號)",102.208,21.3183,1.998,2.24,73.89,0.5537
水果類,"百香果汁",72.9366,18.6121,0.871,0.3592,79.577,0.5807
水果類,"金黃奇異果",58.9366,14.97,0.8385,0.2661,83.3445,0.5809
水果類,"奇異果",56.2826,13.9607,1.1497,0.2582,83.95,0.6814
水果類,"紅毛丹",73.2833,17.8662,1.0315,0.657,80.043,0.4023
水果類,"紅龍果(白肉)",51.4985,12.4151,0.9307,0.4393,85.6757,0.5392
水果類,"紅龍果(紅肉)",50.05,12.2776,1.119,0.2498,85.842,0.5116
水果類,"北蕉平均值",84.9833,22.0845,1.451,0.0722,75.7204,0.672
水果類,"北蕉(2月取樣)",93.2203,24.633,1.324,0.0111,73.448,0.5839
水果類,"北蕉(5月取樣)",91.7847,23.6552,1.557,0.1666,73.8715,0.7497
水果類,"北蕉(9月取樣)",64.6971,16.6394,1.33,0.039,81.375,0.6166
水果類,"北蕉(11月取樣)",90.231,23.4102,1.593,0.0719,74.187,0.7379
水果類,"北蕉(0天,綠皮)",90.4728,23.3214,1.303,0.2554,74.353,0.7672
水果類,"北蕉(1天)",87.1529,22.2016,1.432,0.2886,75.38,0.6978
水果類,"北蕉(3天)",83.6957,21.2829,1.361,0.2992,76.351,0.7059
水果類,"北蕉(7天)",67.8757,17.0754,1.287,0.2485,80.659,0.7301
水果類,"李林蕉(2007年取樣)",102.1755,26.253,1.418,0.3465,70.984,0.9985
水果類,"李林蕉(2012年取樣)",110.6234,29.1507,1.474,0.087,68.321,0.9673
水果類,"南華蕉",124.085,33.1697,1.142,0.1,64.808,0.7803
水果類,"紅皮蕉(2004年取樣)",92.9853,23.951,1.287,0.2912,73.384,1.0868
水果類,"紅皮蕉(2012年取樣)",97.7854,25.4518,1.281,0.2216,72.109,0.9366
水果類,"蛋蕉(2023年取樣)",87.4042,23.2589,1.068,0.01,75.04,0.6231
水果類,"酪梨(綠皮)",64.9787,7.9446,1.6293,3.6922,86.1113,0.6226
水果類,"酪梨(室溫存放0天)",80.0423,7.1315,1.455,5.9116,84.962,0.5399
水果類,"酪梨(室溫存放3天)",84.4824,6.3301,1.365,6.8229,84.837,0.645
水果類,"酪梨(室溫存放6天)",92.2151,6.5564,1.517,7.5884,83.243,1.0952
水果類,"榴槤",131.7274,29.7262,2.7187,1.8612,64.719,0.9749
水果類,"開英種1號鳳梨",56.1664,14.5402,0.624,0.2061,84.375,0.2547
水果類,"鳳梨平均值(雜交種)",52.6628,13.6018,0.7379,0.1454,85.1745,0.3404
水果類,"甘蔗鳳梨",57.4048,15.1288,0.693,0.0732,83.801,0.304
水果類,"甜蜜蜜鳳梨",42.3321,10.6299,0.978,0.093,87.864,0.4351
水果類,"金鑽鳳梨",50.4379,13.2495,0.501,0.1262,85.842,0.2813
水果類,"牛奶鳳梨",60.4765,15.3991,0.7795,0.2892,83.191,0.3412
水果類,"釋迦",104.1989,26.556,2.2,0.144,70,1.1
水果類,"鳳梨釋迦",102.1751,26.0073,1.5105,0.415,71.484,0.5832
